Customer_ID,Age,Gender,Location,Total_Spend,Average_Order_Value,Previous_Purchases,Average_Rating,Discount_Usage_Rate,Promo_Usage_Rate,Subscription_Rate,Customer_Value_Tier
1,55,Male,Kentucky,53,53.0,14,3.1,1.0,1.0,1.0,Medium
2,19,Male,Maine,64,64.0,2,3.1,1.0,1.0,1.0,Medium
3,50,Male,Massachusetts,73,73.0,23,3.1,1.0,1.0,1.0,Medium
4,21,Male,Rhode Island,90,90.0,49,3.5,1.0,1.0,1.0,High
5,45,Male,Oregon,49,49.0,31,2.7,1.0,1.0,1.0,Medium
6,46,Male,Wyoming,20,20.0,14,2.9,1.0,1.0,1.0,Low
7,63,Male,Montana,85,85.0,49,3.2,1.0,1.0,1.0,High
8,27,Male,Louisiana,34,34.0,19,3.2,1.0,1.0,1.0,Low
9,26,Male,West Virginia,97,97.0,8,2.6,1.0,1.0,1.0,High
10,57,Male,Missouri,31,31.0,4,4.8,1.0,1.0,1.0,Low
11,53,Male,Arkansas,34,34.0,26,4.1,1.0,1.0,1.0,Low
12,30,Male,Hawaii,68,68.0,10,4.9,1.0,1.0,1.0,Medium
13,61,Male,Delaware,72,72.0,37,4.5,1.0,1.0,1.0,Medium
14,65,Male,New Hampshire,51,51.0,31,4.7,1.0,1.0,1.0,Medium
15,64,Male,New York,53,53.0,34,4.7,1.0,1.0,1.0,Medium
16,64,Male,Rhode Island,81,81.0,8,2.8,1.0,1.0,1.0,High
17,25,Male,Alabama,36,36.0,44,4.1,1.0,1.0,1.0,Low
18,53,Male,Mississippi,38,38.0,36,4.7,1.0,1.0,1.0,Low
19,52,Male,Montana,48,48.0,17,4.6,1.0,1.0,1.0,Medium
20,66,Male,Rhode Island,90,90.0,46,3.3,1.0,1.0,1.0,High
21,21,Male,Louisiana,51,51.0,50,2.8,1.0,1.0,1.0,Medium
22,31,Male,North Carolina,62,62.0,22,4.1,1.0,1.0,1.0,Medium
23,56,Male,California,37,37.0,32,3.2,1.0,1.0,1.0,Low
24,31,Male,Oklahoma,88,88.0,40,4.4,1.0,1.0,1.0,High
25,18,Male,Florida,22,22.0,16,2.9,1.0,1.0,1.0,Low
26,18,Male,Texas,25,25.0,14,3.6,1.0,1.0,1.0,Low
27,38,Male,Nevada,20,20.0,13,3.6,1.0,1.0,1.0,Low
28,56,Male,Kentucky,56,56.0,7,5.0,1.0,1.0,1.0,Medium
29,54,Male,North Carolina,94,94.0,41,4.4,1.0,1.0,1.0,High
30,31,Male,Wyoming,48,48.0,14,4.1,1.0,1.0,1.0,Medium
31,57,Male,North Carolina,31,31.0,16,4.7,1.0,1.0,1.0,Low
32,33,Male,West Virginia,79,79.0,45,4.7,1.0,1.0,1.0,High
33,36,Male,Kansas,67,67.0,37,4.9,1.0,1.0,1.0,Medium
34,54,Male,Colorado,38,38.0,45,3.3,1.0,1.0,1.0,Low
35,36,Male,North Dakota,91,91.0,38,4.6,1.0,1.0,1.0,High
36,54,Male,Massachusetts,33,33.0,48,4.0,1.0,1.0,1.0,Low
37,35,Male,Illinois,69,69.0,44,4.6,1.0,1.0,1.0,Medium
38,35,Male,Indiana,45,45.0,10,2.8,1.0,1.0,1.0,Low
39,29,Male,Florida,37,37.0,44,,1.0,1.0,1.0,Low
40,70,Male,Arizona,60,60.0,18,4.2,1.0,1.0,1.0,Medium
41,69,Male,Louisiana,76,76.0,31,4.6,1.0,1.0,1.0,High
42,67,Male,Alaska,39,39.0,40,4.5,1.0,1.0,1.0,Low
43,20,Male,Tennessee,100,100.0,15,4.1,1.0,1.0,1.0,High
44,25,Male,Ohio,69,69.0,19,3.7,1.0,1.0,1.0,Medium
45,39,Male,Kentucky,53,53.0,45,4.6,1.0,1.0,1.0,Medium
46,50,Male,Tennessee,21,21.0,25,2.9,1.0,1.0,1.0,Low
47,57,Male,California,43,43.0,45,2.9,1.0,1.0,1.0,Low
48,55,Male,Montana,54,54.0,36,4.5,1.0,1.0,1.0,Medium
49,42,Male,Nevada,55,55.0,38,2.7,1.0,1.0,1.0,Medium
50,68,Male,New Jersey,30,30.0,34,4.6,1.0,1.0,1.0,Low
51,49,Male,Maryland,28,28.0,39,,1.0,1.0,1.0,Low
52,59,Male,Vermont,59,59.0,7,4.7,1.0,1.0,1.0,Medium
53,42,Male,Alaska,20,20.0,26,2.6,1.0,1.0,1.0,Low
54,29,Male,Mississippi,24,24.0,35,3.9,1.0,1.0,1.0,Low
55,47,Male,New Mexico,94,94.0,35,4.2,1.0,1.0,1.0,High
56,40,Male,South Carolina,28,28.0,49,3.0,1.0,1.0,1.0,Low
57,41,Male,Mississippi,73,73.0,46,4.7,1.0,1.0,1.0,Medium
58,21,Male,West Virginia,64,64.0,17,4.4,1.0,1.0,1.0,Medium
59,69,Male,Missouri,54,54.0,29,4.2,1.0,1.0,1.0,Medium
60,63,Male,Louisiana,79,79.0,4,4.6,1.0,1.0,1.0,High
61,50,Male,Idaho,37,37.0,17,4.0,1.0,1.0,1.0,Low
62,55,Male,Texas,68,68.0,21,4.7,1.0,1.0,1.0,Medium
63,30,Male,Mississippi,21,21.0,31,3.8,1.0,1.0,1.0,Low
64,33,Male,Arizona,79,79.0,43,2.7,1.0,1.0,1.0,High
65,65,Male,Alabama,83,83.0,18,4.8,1.0,1.0,1.0,High
66,65,Male,New Jersey,36,36.0,44,4.8,1.0,1.0,1.0,Low
67,31,Male,Pennsylvania,94,94.0,3,4.7,1.0,1.0,1.0,High
68,45,Male,Connecticut,33,33.0,49,4.4,1.0,1.0,1.0,Low
69,57,Male,Utah,46,46.0,21,3.9,1.0,1.0,1.0,Medium
70,48,Male,Tennessee,70,70.0,5,4.4,1.0,1.0,1.0,Medium
71,22,Male,Alabama,29,29.0,32,4.2,1.0,1.0,1.0,Low
72,36,Male,Virginia,48,48.0,34,2.9,1.0,1.0,1.0,Medium
73,18,Male,Georgia,26,26.0,21,2.9,1.0,1.0,1.0,Low
74,48,Male,Hawaii,85,85.0,43,2.7,1.0,1.0,1.0,High
75,49,Male,Indiana,58,58.0,3,4.5,1.0,1.0,1.0,Medium
76,64,Male,Utah,85,85.0,21,2.7,1.0,1.0,1.0,High
77,50,Male,Delaware,43,43.0,32,4.2,1.0,1.0,1.0,Low
78,22,Male,Delaware,53,53.0,36,3.3,1.0,1.0,1.0,Medium
79,50,Male,Nebraska,91,91.0,50,4.7,1.0,1.0,1.0,High
80,38,Male,Iowa,96,96.0,43,2.6,1.0,1.0,1.0,High
81,19,Male,New York,72,72.0,24,,1.0,1.0,1.0,Medium
82,67,Male,Virginia,96,96.0,36,2.6,1.0,1.0,1.0,High
83,19,Male,Georgia,28,28.0,21,4.0,1.0,1.0,1.0,Low
84,36,Male,Texas,40,40.0,34,4.1,1.0,1.0,1.0,Low
85,52,Male,Arizona,32,32.0,42,4.4,1.0,1.0,1.0,Low
86,53,Male,New Mexico,95,95.0,2,4.5,1.0,1.0,1.0,High
87,24,Male,Nevada,41,41.0,47,3.7,1.0,1.0,1.0,Low
88,52,Male,Ohio,53,53.0,44,3.7,1.0,1.0,1.0,Medium
89,33,Male,Wyoming,47,47.0,35,3.5,1.0,1.0,1.0,Medium
90,47,Male,California,83,83.0,15,3.6,1.0,1.0,1.0,High
91,25,Male,South Carolina,48,48.0,29,2.9,1.0,1.0,1.0,Medium
92,44,Male,South Carolina,99,99.0,18,4.6,1.0,1.0,1.0,High
93,61,Male,Texas,87,87.0,13,4.4,1.0,1.0,1.0,High
94,37,Male,Florida,62,62.0,46,4.5,1.0,1.0,1.0,Medium
95,58,Male,Nevada,76,76.0,28,4.6,1.0,1.0,1.0,High
96,37,Male,Missouri,100,100.0,48,3.8,1.0,1.0,1.0,High
97,32,Male,Delaware,73,73.0,43,,1.0,1.0,1.0,Medium
98,21,Male,Virginia,92,92.0,37,4.8,1.0,1.0,1.0,High
99,20,Male,New York,67,67.0,20,2.6,1.0,1.0,1.0,Medium
100,26,Male,Missouri,40,40.0,33,3.7,1.0,1.0,1.0,Low
101,62,Male,South Dakota,98,98.0,31,2.7,1.0,1.0,1.0,High
102,27,Male,North Dakota,85,85.0,50,4.6,1.0,1.0,1.0,High
